CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION CODE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE,GRADE DATE,RECORD DATE,INSPECTION TYPE
50012117,ROBERTA'S PIZZA & BAKERY,BROOKLYN,261,MOORE ST,11206,7184171118,Pizza,03/09/2016,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,45,,,03/01/2018,Cycle Inspection / Initial Inspection
41611347,ANDY'S TERIYAKI & TACO,BRONX,171,EINSTEIN LOOP,10475,7188620191,Tex-Mex,04/04/2015,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,12,A,04/04/2015,03/01/2018,Cycle Inspection / Re-inspection
50063942,FLETCHER'S (DEKALB MARKET),BROOKLYN,445,ALBEE SQUARE WEST,11201,9176220931,Barbecue,08/30/2017,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140Âº F.,Critical,9,A,08/30/2017,03/01/2018,Pre-permit (Operational) / Re-inspection
41439729,MAGGIE BAKERY,BROOKLYN,6802,BAY PARKWAY,11204,7183314372,Bakery,03/09/2015,Violations were cited in the following area(s).,04M,Live roaches present in facility's food and/or non-food areas.,Critical,9,A,03/09/2015,03/01/2018,Cycle Inspection / Re-inspection
41069969,ANGELO'S PIZZA,QUEENS,3903,103 STREET,11368,7183358637,Pizza,09/06/2017,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,12,A,09/06/2017,03/01/2018,Cycle Inspection / Initial Inspection
41696881,NUMERO 28 PIZZERIA,MANHATTAN,658660,AMSTERDAM AVENUE,10025,2127067282,Pizza/Italian,06/17/2017,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,10,A,06/17/2017,03/01/2018,Cycle Inspection / Re-inspection
41392668,KENNY'S BAKERY,MANHATTAN,126,DYCKMAN STREET,10040,2125698414,Bakery,04/10/2015,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,36,,,03/01/2018,Cycle Inspection / Initial Inspection
40368223,OYSTER BAR,MANHATTAN,0,GRAND CENTRAL TERMINAL,10017,2124906650,Seafood,04/20/2015,Violations were cited in the following area(s).,04M,Live roaches present in facility's food and/or non-food areas.,Critical,5,A,04/20/2015,03/01/2018,Cycle Inspection / Re-inspection
41198297,HEARST GOOD HOUSEKEEPING INSTITUTE,MANHATTAN,300,WEST   57 STREET,10019,2126492724,American,04/02/2015,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,2,A,04/02/2015,03/01/2018,Cycle Inspection / Initial Inspection
50055649,JAMAICA BREEZE RESTAURANT,QUEENS,2136,MOTT AVE,11691,7184716030,Caribbean,02/01/2017,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140Âº F.,Critical,18,,,03/01/2018,Pre-permit (Operational) / Initial Inspection
41581674,SHELLCOVE & CHINGER,QUEENS,8302,BROADWAY,11373,7185026668,Asian,08/02/2016,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,11,A,08/02/2016,03/01/2018,Cycle Inspection / Re-inspection
50043999,Cresent Kitchen,QUEENS,2342,30TH AVE,11102,6465330110,Greek,05/09/2016,Violations were cited in the following area(s).,05D,Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.,Critical,22,,,03/01/2018,Pre-permit (Operational) / Initial Inspection
41384329,ICHI SUSHI I,BROOKLYN,2040,86 STREET,11214,7183732929,Japanese,06/14/2014,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,28,,,03/01/2018,Cycle Inspection / Initial Inspection
50041617,ITTADI GARDEN & GRILL,QUEENS,7307,37TH RD,11372,3478662923,Bangladeshi,07/21/2016,Violations were cited in the following area(s).,08B,"Covered garbage receptacle not provided or inadequate, except that garbage receptacle may be uncovered during active use. Garbage storage area not properly constructed or maintained; grinder or compactor dirty.",Not Critical,28,C,07/21/2016,03/01/2018,Cycle Inspection / Re-inspection
41167453,EL MANGU SABROSO RESTAURANT,BRONX,80,WEST KINGSBRIDGE ROAD,10468,7185636499,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",02/02/2018,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,25,,,03/01/2018,Cycle Inspection / Initial Inspection
50039368,GOOD NIGHT SONNY,MANHATTAN,134,1ST AVE,10009,9173328432,American,01/03/2018,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,17,,,03/01/2018,Cycle Inspection / Initial Inspection
50000635,ESTRELLITA POBLANA,BRONX,240,W 231 ST,10463,7188843827,Mexican,01/29/2016,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140Âº F.,Critical,22,,,03/01/2018,Cycle Inspection / Initial Inspection
